City,State,"City, State",Population
Albuquerque,New Mexico,"Albuquerque, New Mexico",918018
Atlanta,Georgia,"Atlanta, Georgia",6020364
Baltimore,Maryland,"Baltimore, Maryland",2800053
Birmingham,Alabama,"Birmingham, Alabama",1090435
Boise,Idaho,"Boise, Idaho",749202
Boston,Massachusetts,"Boston, Massachusetts",4873019
Buffalo,New York,"Buffalo, New York",1127983
Charlotte,North Carolina,"Charlotte, North Carolina",2636883
Chicago,Illinois,"Chicago, Illinois",9458539
Cincinnati,Ohio,"Cincinnati, Ohio",2221208
Cleveland,Ohio,"Cleveland, Ohio",2048449
Columbus,Ohio,"Columbus, Ohio",2122271
Dallas,Texas,"Dallas, Texas",7573136
Denver,Colorado,"Denver, Colorado",2967239
Des Moines,Iowa,"Des Moines, Iowa",699292
Detroit,Michigan,"Detroit, Michigan",4319629
Houston,Texas,"Houston, Texas",7066141
Indianapolis,Indiana,"Indianapolis, Indiana",2074537
Jacksonville,Florida,"Jacksonville, Florida",1559514
Kansas City,Missouri,"Kansas City, Missouri",2157990
Las Vegas,Nevada,"Las Vegas, Nevada",2266715
Los Angeles,California,"Los Angeles, California",13214799
Louisville,Kentucky,"Louisville, Kentucky",1265108
Memphis,Tennessee,"Memphis, Tennessee",1346045
Miami,Florida,"Miami, Florida",6166488
Milwaukee,Wisconsin,"Milwaukee, Wisconsin",1575179
Minneapolis,Minnesota,"Minneapolis, Minnesota",3654908
Mobile,Alabama,"Mobile, Alabama",429536
Nashville,Tennessee,"Nashville, Tennessee",1934317
New Orleans,Louisiana,"New Orleans, Louisiana",1270530
New York,New York,"New York, New York",19216182
Norfolk,Virginia,"Norfolk, Virginia",1768901
Oklahoma City,Oklahoma,"Oklahoma City, Oklahoma",1408950
Omaha,Nebraska,"Omaha, Nebraska",949442
Orlando,Florida,"Orlando, Florida",2608147
Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania",6102434
Phoenix,Arizona,"Phoenix, Arizona",4948203
Pittsburgh,Pennsylvania,"Pittsburgh, Pennsylvania",2317600
Portland,Oregon,"Portland, Oregon",2492412
Raleigh-Durham,North Carolina,"Raleigh-Durham, North Carolina",1390785
Richmond,Virginia,"Richmond, Virginia",1291900
Salt Lake City,Utah,"Salt Lake City, Utah",1232696
San Antonio,Texas,"San Antonio, Texas",2550960
San Diego,California,"San Diego, California",3338330
San Francisco,California,"San Francisco, California",4731803
Seattle,Washington,"Seattle, Washington",3979845
Spokane,Washington,"Spokane, Washington",568521
St. Louis,Missouri,"St. Louis, Missouri",2803228
Tampa,Florida,"Tampa, Florida",3194831
Washington,District of Columbia,"Washington, District of Columbia",6280487
